elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001017, 1.001017, 4350, 359, 690.4, 671, 900, 1017, 2095, 27796, 0
2.002622, 1.001605, 3163, 243, 847.6, 704, 2305, 2561, 2806, 3213, 0
3.001499, 0.998877, 1278, 732, 2295.3, 2318, 2620, 2808, 3517, 3827, 0
4.001649, 1.00015, 1710, 800, 1875.4, 2017, 2584, 3164, 12831, 13010, 0
5.001194, 0.999545, 1465, 833, 2072.8, 2177, 2556, 3615, 4198, 6021, 0
6.001659, 1.000465, 1520, 821, 2003.2, 2141, 2572, 3630, 4346, 6021, 0
7.00097, 0.999311, 1291, 848, 2303.6, 2334, 2679, 3328, 15622, 16108, 0
8.002256, 1.001286, 1374, 872, 2263.6, 2289, 2710, 3748, 15622, 16108, 0
9.001098, 0.998842, 1474, 802, 2097.0, 2245, 2631, 2877, 5464, 5778, 0
10.001462, 1.000364, 1392, 859, 2190.5, 2286, 2654, 2880, 4247, 4551, 0
11.00184, 1.000378, 1291, 871, 2322.9, 2313, 2640, 3529, 6146, 6414, 0
12.001066, 0.999226, 1613, 803, 1953.7, 2109, 2545, 3085, 5748, 6067, 0
13.001085, 1.000019, 1475, 807, 1976.2, 2121, 2533, 2744, 3940, 4153, 0
14.001017, 0.999932, 1457, 831, 2103.5, 2188, 2538, 3241, 9315, 13279, 0
15.002001, 1.000984, 1502, 789, 2054.1, 2171, 2563, 2872, 3735, 3869, 0
16.001986, 0.999985, 1387, 861, 2190.3, 2261, 2632, 3678, 3825, 3841, 0
17.002081, 1.000095, 1391, 863, 2181.5, 2231, 2592, 3517, 12671, 13136, 0
18.001976, 0.999895, 1397, 868, 2187.4, 2226, 2574, 3775, 12671, 13136, 0
19.003337, 1.001361, 1334, 917, 2247.4, 2244, 2524, 3249, 5425, 5633, 0
20.001208, 0.997871, 1488, 821, 2066.9, 2194, 2541, 3058, 4750, 5196, 0
21.001033, 0.999825, 1494, 822, 2065.1, 2202, 2559, 2740, 3270, 4074, 0
22.000971, 0.999938, 1357, 882, 2231.1, 2279, 2572, 2700, 3205, 4217, 0
23.002391, 1.00142, 1410, 831, 2159.2, 2217, 2503, 2678, 3725, 4217, 0
24.001463, 0.999072, 1360, 789, 2205.6, 2239, 2553, 2666, 6607, 7049, 0
25.002617, 1.001154, 1285, 865, 2323.0, 2308, 2609, 3529, 16284, 16553, 0
26.001073, 0.998456, 1584, 813, 2019.9, 2122, 2563, 3307, 16284, 16553, 0
27.001198, 1.000125, 1331, 905, 2246.7, 2277, 2574, 3112, 5800, 6169, 0
28.001009, 0.999811, 1306, 895, 2301.6, 2319, 2625, 2767, 4094, 5123, 0
29.002221, 1.001212, 1276, 1142, 2324.6, 2323, 2634, 2780, 4037, 4214, 0
30.001285, 0.999064, 1303, 1135, 2282.5, 2265, 2564, 3484, 4470, 4845, 0
31.002465, 1.00118, 1340, 1282, 2237.0, 2224, 2486, 3000, 3782, 4146, 0
32.001385, 0.99892, 1433, 903, 2122.5, 2219, 2615, 2900, 4382, 4653, 0
33.001723, 1.000338, 1437, 853, 2128.1, 2216, 2529, 2755, 5041, 6164, 0
34.002401, 1.000678, 1381, 879, 2192.0, 2235, 2523, 2690, 4842, 5243, 0
35.001344, 0.998943, 1377, 881, 2189.1, 2245, 2542, 2874, 5237, 5766, 0
36.000993, 0.999649, 1676, 795, 1893.9, 1850, 3066, 3618, 3975, 4079, 0
37.002014, 1.001021, 1343, 769, 1943.2, 2119, 2575, 2742, 5148, 5688, 0
38.003883, 1.001869, 1370, 863, 2221.1, 2272, 2582, 2725, 5364, 5690, 0
39.001498, 0.997615, 1317, 873, 2284.2, 2311, 2596, 2802, 5364, 5690, 0
40.001587, 1.000089, 1396, 859, 2178.3, 2256, 2588, 2771, 3365, 3727, 0
41.002482, 1.000895, 1354, 865, 2223.2, 2267, 2634, 2820, 3406, 3574, 0
42.001033, 0.998551, 1487, 831, 2072.3, 2200, 2527, 2809, 3630, 3963, 0
43.001152, 1.000119, 1253, 1659, 2347.6, 2350, 2625, 2686, 3383, 3728, 0
44.002479, 1.001327, 1382, 892, 2209.9, 2265, 2566, 2645, 3048, 3314, 0
45.001128, 0.998649, 1379, 847, 2186.3, 2250, 2560, 2725, 3252, 3802, 0
46.001153, 1.000025, 1526, 842, 2047.7, 2169, 2613, 3619, 3845, 3921, 0
47.000984, 0.999831, 1716, 780, 1839.0, 1983, 2497, 3005, 4506, 5754, 0
48.002853, 1.001869, 1364, 887, 2192.6, 2235, 2512, 2698, 4506, 5754, 0
49.001507, 0.998654, 1332, 972, 2241.4, 2243, 2524, 2714, 3606, 3700, 0
50.001441, 0.999934, 1342, 873, 2236.2, 2254, 2536, 2714, 3112, 3461, 0
51.001855, 1.000414, 1305, 954, 2282.1, 2285, 2580, 2863, 3994, 4363, 0
52.001351, 0.999496, 1347, 895, 2246.2, 2262, 2542, 2690, 4053, 4363, 0
53.002829, 1.001478, 1345, 857, 2231.3, 2282, 2574, 2997, 13100, 13597, 0
54.001421, 0.998592, 1320, 837, 2282.0, 2291, 2572, 2798, 4868, 5441, 0
55.001466, 1.000045, 1763, 833, 1815.4, 1896, 2556, 2933, 4308, 4758, 0
56.001627, 1.000161, 1343, 836, 2129.4, 2241, 3101, 3733, 5565, 6010, 0
57.002515, 1.000888, 1458, 855, 2132.3, 2246, 3106, 3784, 6405, 6489, 0
58.00119, 0.998675, 1450, 855, 2117.6, 2233, 2632, 2947, 6052, 6489, 0
59.002702, 1.001512, 1368, 831, 2203.7, 2270, 2688, 2810, 5945, 6361, 0
60.000977, 0.998275, 1289, 895, 2325.2, 2383, 2694, 2862, 5945, 6361, 0
61.002567, 1.00159, 1377, 874, 2232.0, 2282, 2666, 3029, 4039, 4317, 0
61.00781, 0.005243, 9, 874, 2233.0, 2283, 2670, 3030, 4039, 4317, 0
