elapsed, window, total, successful, failed
1.001017, 1.001017, 4350, 4350, 0
2.002622, 1.001605, 3163, 3163, 0
3.001499, 0.998877, 1278, 1278, 0
4.001649, 1.00015, 1710, 1710, 0
5.001194, 0.999545, 1465, 1465, 0
6.001659, 1.000465, 1520, 1520, 0
7.00097, 0.999311, 1291, 1291, 0
8.002256, 1.001286, 1374, 1374, 0
9.001098, 0.998842, 1474, 1474, 0
10.001462, 1.000364, 1392, 1392, 0
11.00184, 1.000378, 1291, 1291, 0
12.001066, 0.999226, 1613, 1613, 0
13.001085, 1.000019, 1475, 1475, 0
14.001017, 0.999932, 1457, 1457, 0
15.002001, 1.000984, 1502, 1502, 0
16.001986, 0.999985, 1387, 1387, 0
17.002081, 1.000095, 1391, 1391, 0
18.001976, 0.999895, 1397, 1397, 0
19.003337, 1.001361, 1334, 1334, 0
20.001208, 0.997871, 1488, 1488, 0
21.001033, 0.999825, 1494, 1494, 0
22.000971, 0.999938, 1357, 1357, 0
23.002391, 1.00142, 1410, 1410, 0
24.001463, 0.999072, 1360, 1360, 0
25.002617, 1.001154, 1285, 1285, 0
26.001073, 0.998456, 1584, 1584, 0
27.001198, 1.000125, 1331, 1331, 0
28.001009, 0.999811, 1306, 1306, 0
29.002221, 1.001212, 1276, 1276, 0
30.001285, 0.999064, 1303, 1303, 0
31.002465, 1.00118, 1340, 1340, 0
32.001385, 0.99892, 1433, 1433, 0
33.001723, 1.000338, 1437, 1437, 0
34.002401, 1.000678, 1381, 1381, 0
35.001344, 0.998943, 1377, 1377, 0
36.000993, 0.999649, 1676, 1676, 0
37.002014, 1.001021, 1343, 1343, 0
38.003883, 1.001869, 1370, 1370, 0
39.001498, 0.997615, 1317, 1317, 0
40.001587, 1.000089, 1396, 1396, 0
41.002482, 1.000895, 1354, 1354, 0
42.001033, 0.998551, 1487, 1487, 0
43.001152, 1.000119, 1253, 1253, 0
44.002479, 1.001327, 1382, 1382, 0
45.001128, 0.998649, 1379, 1379, 0
46.001153, 1.000025, 1526, 1526, 0
47.000984, 0.999831, 1716, 1716, 0
48.002853, 1.001869, 1364, 1364, 0
49.001507, 0.998654, 1332, 1332, 0
50.001441, 0.999934, 1342, 1342, 0
51.001855, 1.000414, 1305, 1305, 0
52.001351, 0.999496, 1347, 1347, 0
53.002829, 1.001478, 1345, 1345, 0
54.001421, 0.998592, 1320, 1320, 0
55.001466, 1.000045, 1763, 1763, 0
56.001627, 1.000161, 1343, 1343, 0
57.002515, 1.000888, 1458, 1458, 0
58.00119, 0.998675, 1450, 1450, 0
59.002702, 1.001512, 1368, 1368, 0
60.000977, 0.998275, 1289, 1289, 0
61.002567, 1.00159, 1377, 1377, 0
61.00781, 0.005243, 9, 9, 0
