elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000489, 1.000489, 3675, 270, 813.2, 824, 1064, 1141, 3433, 34319, 0
2.001405, 1.000916, 3324, 344, 872.8, 868, 1284, 1395, 3696, 5442, 0
3.001431, 1.000026, 3480, 320, 852.8, 876, 1169, 1327, 1631, 5662, 0
4.001812, 1.000381, 3368, 346, 876.7, 898, 1157, 1345, 1753, 2998, 0
5.001429, 0.999617, 3178, 351, 941.8, 955, 1158, 1266, 2098, 2683, 0
6.001596, 1.000167, 3184, 328, 918.9, 915, 1123, 1248, 1765, 2025, 0
7.001477, 0.999881, 3124, 593, 951.9, 942, 1156, 1250, 2722, 3399, 0
8.001424, 0.999947, 3162, 337, 940.0, 936, 1170, 1270, 2203, 2622, 0
9.00146, 1.000036, 3131, 375, 945.2, 943, 1170, 1269, 2638, 15165, 0
10.001463, 1.000003, 3096, 349, 958.5, 960, 1185, 1282, 2805, 4285, 0
11.001501, 1.000038, 3031, 468, 976.7, 971, 1190, 1242, 2197, 2914, 0
12.001483, 0.999982, 3196, 670, 931.6, 914, 1147, 1323, 1843, 5337, 0
13.001477, 0.999994, 3504, 354, 846.4, 846, 1189, 1327, 2460, 2852, 0
14.001689, 1.000212, 3699, 335, 804.7, 825, 1116, 1240, 2446, 2765, 1
15.001487, 0.999798, 3429, 338, 861.4, 867, 1173, 1283, 3745, 4744, 0
16.001745, 1.000258, 3313, 353, 893.3, 909, 1139, 1262, 1536, 1854, 0
17.00171, 0.999965, 3573, 325, 829.1, 840, 1182, 1333, 2153, 4412, 0
18.00144, 0.99973, 3499, 324, 848.4, 850, 1145, 1303, 1598, 2899, 0
19.001605, 1.000165, 4145, 320, 715.4, 700, 1051, 1176, 2206, 4240, 2
20.001511, 0.999906, 3943, 322, 751.0, 732, 1104, 1194, 1381, 1728, 1
21.001462, 0.999951, 3373, 352, 877.9, 868, 1078, 1145, 2662, 3806, 0
22.001426, 0.999964, 3759, 326, 787.7, 785, 1082, 1166, 1426, 2239, 0
23.001574, 1.000148, 4145, 316, 715.5, 704, 1041, 1150, 2123, 4019, 3
24.001485, 0.999911, 3843, 338, 769.7, 758, 1032, 1091, 1306, 1454, 0
25.001565, 1.00008, 4034, 320, 734.1, 719, 1046, 1154, 1538, 2649, 0
26.001452, 0.999887, 3958, 324, 748.0, 731, 1062, 1142, 1433, 1606, 1
27.001504, 1.000052, 3632, 316, 816.4, 835, 1054, 1121, 2724, 2936, 0
28.001541, 1.000037, 3503, 329, 847.7, 858, 1074, 1258, 1534, 2437, 1
