elapsed, window, total, successful, failed
1.000489, 1.000489, 3675, 3675, 0
2.001405, 1.000916, 3324, 3324, 0
3.001431, 1.000026, 3480, 3480, 0
4.001812, 1.000381, 3368, 3368, 0
5.001429, 0.999617, 3178, 3178, 0
6.001596, 1.000167, 3184, 3184, 0
7.001477, 0.999881, 3124, 3124, 0
8.001424, 0.999947, 3162, 3162, 0
9.00146, 1.000036, 3131, 3131, 0
10.001463, 1.000003, 3096, 3096, 0
11.001501, 1.000038, 3031, 3031, 0
12.001483, 0.999982, 3196, 3196, 0
13.001477, 0.999994, 3504, 3504, 0
14.001689, 1.000212, 3700, 3699, 1
15.001487, 0.999798, 3429, 3429, 0
16.001745, 1.000258, 3313, 3313, 0
17.00171, 0.999965, 3573, 3573, 0
18.00144, 0.99973, 3499, 3499, 0
19.001605, 1.000165, 4147, 4145, 2
20.001511, 0.999906, 3944, 3943, 1
21.001462, 0.999951, 3373, 3373, 0
22.001426, 0.999964, 3759, 3759, 0
23.001574, 1.000148, 4148, 4145, 3
24.001485, 0.999911, 3843, 3843, 0
25.001565, 1.00008, 4034, 4034, 0
26.001452, 0.999887, 3959, 3958, 1
27.001504, 1.000052, 3632, 3632, 0
28.001541, 1.000037, 3504, 3503, 1
29.001586, 1.000045, 4247, 4247, 0
30.001752, 1.000166, 4287, 4286, 1
31.001477, 0.999725, 3837, 3837, 0
32.001635, 1.000158, 3411, 3411, 0
33.001569, 0.999934, 3410, 3410, 0
34.001441, 0.999872, 3499, 3498, 1
35.001486, 1.000045, 3485, 3485, 0
36.001458, 0.999972, 3502, 3502, 0
37.00142, 0.999962, 3358, 3358, 0
38.001497, 1.000077, 3427, 3427, 0
39.001514, 1.000017, 3404, 3403, 1
40.001556, 1.000042, 3341, 3341, 0
41.00165, 1.000094, 3398, 3398, 0
42.001632, 0.999982, 3443, 3442, 1
43.001503, 0.999871, 3552, 3552, 0
44.001891, 1.000388, 3429, 3429, 0
45.001752, 0.999861, 3280, 3280, 0
46.001446, 0.999694, 3274, 3274, 0
47.001929, 1.000483, 3285, 3285, 0
48.001415, 0.999486, 3455, 3455, 0
49.001446, 1.000031, 3153, 3153, 0
50.001452, 1.000006, 3405, 3405, 0
51.00152, 1.000068, 3645, 3644, 1
52.001724, 1.000204, 3503, 3503, 0
53.001442, 0.999718, 3557, 3557, 0
54.001594, 1.000152, 3263, 3262, 1
55.001777, 1.000183, 3466, 3466, 0
56.001696, 0.999919, 3711, 3711, 0
57.001549, 0.999853, 3586, 3585, 1
58.001465, 0.999916, 3465, 3465, 0
59.001655, 1.00019, 3393, 3393, 0
60.001402, 0.999747, 3431, 3431, 0
61.001476, 1.000074, 3474, 3474, 0
61.012699, 0.011223, 31, 31, 0
