elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000938, 1.000938, 2863, 651, 1060.1, 1005, 1332, 1556, 2248, 31511, 0
2.002043, 1.001105, 3168, 348, 918.8, 928, 1272, 1451, 2713, 3717, 0
3.00095, 0.998907, 3052, 399, 965.4, 965, 1225, 1329, 1657, 1881, 0
4.001881, 1.000931, 3166, 360, 937.9, 946, 1221, 1337, 2507, 3680, 0
5.002067, 1.000186, 3014, 389, 984.3, 977, 1233, 1351, 1744, 2621, 0
6.000949, 0.998882, 3060, 392, 967.0, 967, 1212, 1272, 1715, 2467, 0
7.001876, 1.000927, 3210, 362, 929.9, 959, 1229, 1317, 2294, 5929, 1
8.002054, 1.000178, 3195, 350, 930.8, 959, 1198, 1259, 1939, 2327, 0
9.001966, 0.999912, 2909, 402, 1012.1, 1017, 1246, 1317, 1917, 7247, 0
10.001978, 1.000012, 3069, 381, 964.7, 978, 1223, 1395, 3578, 5261, 0
11.001973, 0.999995, 3144, 376, 944.9, 936, 1163, 1234, 1780, 4386, 0
12.001819, 0.999846, 3047, 401, 972.3, 968, 1220, 1299, 2927, 4953, 0
13.001846, 1.000027, 2951, 478, 1008.1, 1014, 1247, 1285, 1862, 5598, 0
14.002219, 1.000373, 3158, 357, 936.6, 952, 1190, 1256, 3604, 3792, 0
15.000967, 0.998748, 3097, 389, 959.9, 953, 1227, 1323, 1743, 7608, 0
16.001837, 1.00087, 3136, 444, 945.5, 937, 1156, 1210, 3949, 4739, 0
17.001901, 1.000064, 3210, 485, 925.6, 914, 1125, 1195, 2217, 5373, 0
18.001823, 0.999922, 3112, 439, 956.3, 945, 1217, 1305, 4427, 4623, 0
19.002372, 1.000549, 2986, 377, 993.6, 1007, 1239, 1280, 1795, 2884, 0
20.00082, 0.998448, 3081, 396, 963.5, 966, 1203, 1274, 3745, 4275, 0
21.002283, 1.001463, 3109, 379, 954.8, 967, 1233, 1279, 1720, 2929, 0
22.000889, 0.998606, 3050, 433, 972.9, 967, 1189, 1280, 3755, 4055, 0
23.001942, 1.001053, 3055, 357, 971.8, 966, 1196, 1318, 2249, 2844, 0
24.001922, 0.99998, 4004, 348, 743.5, 722, 1158, 1258, 2383, 2821, 2
25.002401, 1.000479, 3114, 445, 952.5, 941, 1173, 1336, 2584, 2747, 0
26.000982, 0.998581, 3064, 431, 967.2, 950, 1179, 1273, 2838, 3552, 0
27.00184, 1.000858, 3154, 370, 939.6, 928, 1165, 1319, 3466, 4129, 0
28.001874, 1.000034, 3429, 351, 867.6, 876, 1113, 1217, 3730, 4218, 0
29.00185, 0.999976, 3074, 370, 963.2, 945, 1180, 1371, 4188, 4642, 0
30.001986, 1.000136, 3063, 393, 972.0, 966, 1197, 1305, 3905, 4199, 0
31.001911, 0.999925, 3243, 356, 914.8, 936, 1177, 1242, 3873, 4146, 0
32.002194, 1.000283, 3077, 357, 962.7, 981, 1219, 1288, 4258, 4590, 0
33.001235, 0.999041, 2969, 404, 1001.5, 989, 1224, 1428, 3864, 4178, 0
34.000857, 0.999622, 3044, 353, 975.5, 970, 1195, 1266, 4852, 5301, 0
35.001974, 1.001117, 3345, 343, 891.7, 919, 1181, 1312, 4003, 5851, 0
36.001884, 0.99991, 3770, 336, 789.4, 763, 1156, 1230, 2330, 3215, 0
37.001859, 0.999975, 3245, 351, 915.1, 918, 1164, 1321, 3279, 3861, 0
38.002011, 1.000152, 3394, 343, 876.3, 890, 1212, 1295, 3016, 4090, 0
39.002002, 0.999991, 3218, 344, 927.0, 940, 1166, 1328, 4090, 4576, 0
40.001896, 0.999894, 3170, 373, 936.3, 947, 1178, 1381, 2497, 3405, 0
41.001903, 1.000007, 3172, 347, 936.2, 966, 1209, 1281, 3013, 3244, 0
42.00193, 1.000027, 3221, 358, 922.8, 936, 1171, 1273, 2243, 2950, 0
43.001834, 0.999904, 3013, 367, 983.1, 986, 1214, 1284, 2564, 3247, 0
44.001876, 1.000042, 3279, 347, 907.0, 929, 1192, 1266, 2675, 3344, 0
45.00204, 1.000164, 3467, 347, 858.3, 817, 1182, 1260, 3807, 4106, 0
46.0013, 0.99926, 3057, 386, 966.8, 955, 1186, 1326, 3318, 3492, 0
47.000921, 0.999621, 3058, 354, 969.6, 956, 1195, 1484, 3992, 4399, 0
48.002318, 1.001397, 3289, 347, 902.8, 912, 1193, 1291, 3874, 4132, 0
49.000895, 0.998577, 3355, 350, 886.2, 889, 1206, 1286, 4157, 4898, 1
50.001858, 1.000963, 3295, 353, 900.9, 917, 1155, 1276, 3329, 3931, 0
51.002097, 1.000239, 3165, 381, 937.2, 954, 1181, 1274, 3817, 4084, 0
52.001006, 0.998909, 3213, 350, 921.9, 937, 1204, 1327, 5044, 5822, 0
53.001859, 1.000853, 3759, 343, 791.9, 768, 1151, 1217, 1597, 2645, 1
54.001928, 1.000069, 3122, 381, 949.0, 953, 1174, 1241, 2572, 3082, 0
55.001988, 1.00006, 3438, 347, 864.9, 894, 1174, 1317, 2210, 2468, 1
56.002285, 1.000297, 3303, 345, 899.8, 932, 1157, 1253, 2628, 3149, 0
57.001154, 0.998869, 3695, 351, 805.0, 770, 1153, 1274, 3711, 4148, 0
58.001077, 0.999923, 3689, 343, 807.7, 772, 1152, 1334, 3901, 4455, 0
59.000921, 0.999844, 3162, 350, 939.2, 944, 1168, 1337, 3744, 4048, 0
60.001851, 1.00093, 3434, 346, 864.7, 880, 1174, 1256, 2213, 2542, 0
61.002022, 1.000171, 3346, 339, 889.0, 910, 1175, 1321, 2512, 2577, 0
61.007351, 0.005329, 8, 339, 889.6, 910, 1176, 1323, 2512, 2577, 0
