elapsed, window, total, successful, failed
1.000938, 1.000938, 2863, 2863, 0
2.002043, 1.001105, 3168, 3168, 0
3.00095, 0.998907, 3052, 3052, 0
4.001881, 1.000931, 3166, 3166, 0
5.002067, 1.000186, 3014, 3014, 0
6.000949, 0.998882, 3060, 3060, 0
7.001876, 1.000927, 3211, 3210, 1
8.002054, 1.000178, 3195, 3195, 0
9.001966, 0.999912, 2909, 2909, 0
10.001978, 1.000012, 3069, 3069, 0
11.001973, 0.999995, 3144, 3144, 0
12.001819, 0.999846, 3047, 3047, 0
13.001846, 1.000027, 2951, 2951, 0
14.002219, 1.000373, 3158, 3158, 0
15.000967, 0.998748, 3097, 3097, 0
16.001837, 1.00087, 3136, 3136, 0
17.001901, 1.000064, 3210, 3210, 0
18.001823, 0.999922, 3112, 3112, 0
19.002372, 1.000549, 2986, 2986, 0
20.00082, 0.998448, 3081, 3081, 0
21.002283, 1.001463, 3109, 3109, 0
22.000889, 0.998606, 3050, 3050, 0
23.001942, 1.001053, 3055, 3055, 0
24.001922, 0.99998, 4006, 4004, 2
25.002401, 1.000479, 3114, 3114, 0
26.000982, 0.998581, 3064, 3064, 0
27.00184, 1.000858, 3154, 3154, 0
28.001874, 1.000034, 3429, 3429, 0
29.00185, 0.999976, 3074, 3074, 0
30.001986, 1.000136, 3063, 3063, 0
31.001911, 0.999925, 3243, 3243, 0
32.002194, 1.000283, 3077, 3077, 0
33.001235, 0.999041, 2969, 2969, 0
34.000857, 0.999622, 3044, 3044, 0
35.001974, 1.001117, 3345, 3345, 0
36.001884, 0.99991, 3770, 3770, 0
37.001859, 0.999975, 3245, 3245, 0
38.002011, 1.000152, 3394, 3394, 0
39.002002, 0.999991, 3218, 3218, 0
40.001896, 0.999894, 3170, 3170, 0
41.001903, 1.000007, 3172, 3172, 0
42.00193, 1.000027, 3221, 3221, 0
43.001834, 0.999904, 3013, 3013, 0
44.001876, 1.000042, 3279, 3279, 0
45.00204, 1.000164, 3467, 3467, 0
46.0013, 0.99926, 3057, 3057, 0
47.000921, 0.999621, 3058, 3058, 0
48.002318, 1.001397, 3289, 3289, 0
49.000895, 0.998577, 3356, 3355, 1
50.001858, 1.000963, 3295, 3295, 0
51.002097, 1.000239, 3165, 3165, 0
52.001006, 0.998909, 3213, 3213, 0
53.001859, 1.000853, 3760, 3759, 1
54.001928, 1.000069, 3122, 3122, 0
55.001988, 1.00006, 3439, 3438, 1
56.002285, 1.000297, 3303, 3303, 0
57.001154, 0.998869, 3695, 3695, 0
58.001077, 0.999923, 3689, 3689, 0
59.000921, 0.999844, 3162, 3162, 0
60.001851, 1.00093, 3434, 3434, 0
61.002022, 1.000171, 3346, 3346, 0
61.007351, 0.005329, 8, 8, 0
