elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001179, 1.001179, 3906, 252, 762.9, 736, 979, 1062, 13694, 26353, 0
2.001115, 0.999936, 4104, 271, 750.2, 749, 977, 1052, 4332, 11451, 0
3.001181, 1.000066, 4542, 257, 688.8, 689, 967, 1027, 4537, 5293, 0
4.001098, 0.999917, 3772, 257, 735.4, 756, 974, 1032, 4056, 5293, 0
5.001341, 1.000243, 4583, 258, 701.6, 726, 963, 1034, 2394, 4076, 0
6.001177, 0.999836, 4100, 258, 705.9, 723, 944, 1040, 2219, 5688, 0
7.001416, 1.000239, 4575, 258, 672.2, 683, 905, 1011, 3789, 5688, 0
8.001202, 0.999786, 5204, 251, 617.9, 620, 891, 976, 2109, 5414, 0
9.001191, 0.999989, 5128, 251, 579.4, 569, 873, 939, 1254, 2448, 2
10.001206, 1.000015, 4471, 252, 633.9, 645, 889, 944, 1455, 4304, 0
11.001243, 1.000037, 4549, 251, 674.9, 671, 932, 1019, 4927, 13036, 0
12.001183, 0.99994, 4191, 265, 699.4, 678, 953, 1048, 7884, 13036, 0
13.001153, 0.99997, 4298, 258, 689.3, 678, 956, 1088, 4383, 5759, 0
14.001114, 0.999961, 4106, 258, 733.5, 734, 962, 1087, 1477, 5352, 0
15.001068, 0.999954, 4080, 312, 734.5, 729, 918, 1099, 1573, 4754, 0
16.001268, 1.0002, 4065, 258, 720.7, 721, 930, 1053, 3307, 9078, 0
17.001245, 0.999977, 3860, 302, 772.3, 764, 960, 1113, 2075, 9078, 0
18.00109, 0.999845, 4387, 272, 713.2, 723, 965, 1134, 2079, 4292, 1
19.001102, 1.000012, 3814, 272, 715.5, 734, 965, 1040, 1803, 2290, 0
20.001109, 1.000007, 3768, 265, 787.8, 789, 979, 1037, 2015, 9388, 0
21.001063, 0.999954, 4458, 267, 716.1, 724, 964, 1023, 1743, 4641, 0
22.001084, 1.000021, 4301, 252, 693.8, 698, 920, 1002, 1638, 5732, 0
23.001118, 1.000034, 4258, 256, 712.0, 717, 901, 966, 1565, 2193, 1
24.001099, 0.999981, 4830, 256, 647.0, 649, 874, 946, 1804, 5652, 1
25.001175, 1.000076, 4163, 266, 672.3, 675, 892, 977, 1236, 3105, 0
26.00108, 0.999905, 4148, 275, 717.0, 720, 907, 985, 1877, 7078, 0
27.001434, 1.000354, 4007, 308, 724.6, 726, 906, 997, 1877, 2331, 0
28.001118, 0.999684, 3929, 306, 751.5, 739, 916, 1087, 1915, 12306, 0
29.001084, 0.999966, 4004, 270, 740.6, 747, 948, 1010, 1489, 4110, 0
30.001096, 1.000012, 3699, 270, 769.9, 782, 975, 1029, 1694, 7140, 0
31.001154, 1.000058, 4647, 263, 698.5, 712, 950, 1023, 3161, 4483, 2
32.001138, 0.999984, 4320, 263, 648.7, 646, 896, 970, 3543, 4483, 0
33.001144, 1.000006, 4263, 268, 692.0, 702, 907, 969, 2379, 4613, 2
34.001153, 1.000009, 5262, 250, 619.4, 627, 895, 950, 1380, 4283, 1
35.001413, 1.00026, 4053, 250, 650.1, 663, 905, 971, 1295, 1627, 0
36.001118, 0.999705, 4042, 270, 732.5, 725, 917, 1001, 3040, 5162, 0
37.001164, 1.000046, 4494, 266, 692.5, 693, 903, 1005, 3040, 8954, 0
38.00119, 1.000026, 4506, 263, 652.7, 651, 895, 978, 2186, 8954, 0
39.001109, 0.999919, 4053, 263, 712.2, 705, 999, 1097, 5836, 13432, 0
40.001119, 1.00001, 4009, 259, 746.7, 739, 1041, 1124, 4299, 13432, 0
41.001159, 1.00004, 3824, 272, 780.7, 772, 1077, 1167, 3147, 12138, 0
42.001086, 0.999927, 4513, 261, 718.8, 720, 1038, 1152, 2906, 4758, 1
43.001135, 1.000049, 4518, 267, 676.8, 682, 900, 962, 1765, 4758, 0
44.001123, 0.999988, 5038, 258, 630.9, 628, 896, 1055, 2074, 4058, 1
45.00122, 1.000097, 4173, 255, 646.7, 640, 924, 1065, 3627, 7691, 1
46.001149, 0.999929, 5386, 255, 620.8, 595, 892, 994, 2924, 5013, 0
47.001094, 0.999945, 3978, 255, 648.6, 649, 900, 967, 2273, 3765, 0
48.001195, 1.000101, 4212, 264, 719.8, 720, 908, 959, 3623, 3925, 0
49.001175, 0.99998, 5615, 247, 596.6, 581, 869, 930, 1240, 3925, 2
50.00128, 1.000105, 4915, 247, 558.7, 533, 832, 897, 1108, 4561, 0
51.001147, 0.999867, 4063, 271, 680.8, 683, 892, 957, 1483, 4561, 0
52.001119, 0.999972, 4166, 266, 718.6, 728, 932, 1009, 2151, 3318, 0
53.001336, 1.000217, 4254, 266, 699.8, 719, 935, 1010, 1654, 2713, 0
54.001075, 0.999739, 4091, 269, 734.5, 746, 947, 1020, 1464, 1874, 0
55.001068, 0.999993, 4384, 266, 711.6, 725, 930, 1000, 1453, 2790, 0
56.001166, 1.000098, 4557, 265, 679.2, 695, 923, 1024, 2123, 7864, 0
57.001134, 0.999968, 4544, 261, 663.4, 665, 931, 1054, 2427, 7864, 0
58.001169, 1.000035, 4056, 266, 709.1, 721, 925, 1004, 1962, 8195, 0
59.001206, 1.000037, 4326, 260, 722.0, 727, 903, 971, 1344, 4388, 1
60.001187, 0.999981, 5165, 257, 620.3, 620, 854, 913, 1412, 11049, 2
61.001129, 0.999942, 4344, 250, 634.1, 634, 880, 949, 1413, 11049, 0
61.011627, 0.010498, 0, 250, 634.3, 634, 880, 952, 1418, 11049, 0
