elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.001066, 1.001066, 3880, 297, 768.5, 729, 992, 1328, 5580, 27882, 0
2.001096, 1.00003, 3401, 274, 854.5, 751, 2174, 2636, 5315, 7554, 0
3.001278, 1.000182, 1291, 865, 2306.2, 2359, 2709, 2811, 3879, 3892, 0
4.001189, 0.999911, 1243, 1089, 2408.3, 2410, 2678, 2772, 3270, 3847, 0
5.001634, 1.000445, 1238, 956, 2412.6, 2379, 3167, 3477, 11186, 11442, 0
6.001056, 0.999422, 1309, 861, 2287.7, 2300, 2770, 3150, 3658, 3948, 0
7.001651, 1.000595, 1392, 868, 2163.4, 2241, 2567, 2844, 3611, 3670, 0
8.001384, 0.999733, 1280, 864, 2315.3, 2332, 2672, 3082, 13997, 15189, 0
9.002039, 1.000655, 1355, 890, 2252.8, 2281, 2592, 2764, 13788, 15189, 0
10.001048, 0.999009, 1299, 900, 2296.9, 2313, 2623, 2885, 4646, 4745, 0
11.001087, 1.000039, 1427, 859, 2124.6, 2209, 2634, 3154, 3683, 3817, 0
12.002707, 1.00162, 1321, 903, 2271.0, 2286, 2554, 2795, 4533, 4657, 0
13.001118, 0.998411, 1268, 897, 2342.2, 2331, 2652, 3145, 14693, 14986, 0
14.001331, 1.000213, 1316, 893, 2300.0, 2305, 2665, 2905, 14693, 14986, 0
15.00195, 1.000619, 1174, 948, 2532.0, 2547, 2853, 4292, 7121, 7326, 0
16.001398, 0.999448, 1196, 1912, 2499.4, 2438, 2724, 5176, 9746, 9938, 0
17.001618, 1.00022, 1306, 912, 2331.7, 2344, 2763, 3536, 9746, 9938, 0
18.001745, 1.000127, 1324, 797, 2250.7, 2278, 2591, 3042, 11650, 12200, 0
19.001319, 0.999574, 1268, 1111, 2374.3, 2348, 2639, 2874, 11889, 12200, 0
20.001815, 1.000496, 1289, 887, 2317.7, 2387, 2709, 2901, 3930, 3973, 0
21.002328, 1.000513, 1308, 937, 2299.5, 2311, 2624, 3298, 3849, 4027, 0
22.001547, 0.999219, 1293, 849, 2307.2, 2329, 2717, 2992, 4027, 5538, 0
23.00157, 1.000023, 1264, 960, 2360.1, 2354, 2660, 2970, 4034, 4670, 0
24.001075, 0.999505, 1212, 923, 2445.2, 2440, 2764, 2943, 3709, 3820, 0
25.002187, 1.001112, 1267, 899, 2366.9, 2374, 2708, 3064, 13622, 14335, 0
26.001072, 0.998885, 1308, 880, 2284.9, 2358, 2724, 3009, 4175, 4857, 0
27.002685, 1.001613, 1317, 1008, 2270.9, 2240, 2525, 3597, 15108, 15343, 0
28.001307, 0.998622, 1270, 847, 2326.4, 2352, 2651, 2796, 6157, 6376, 0
29.001088, 0.999781, 1312, 914, 2291.0, 2297, 2626, 3311, 4491, 4695, 0
30.002671, 1.001583, 1339, 857, 2243.2, 2266, 2569, 4260, 6060, 6377, 0
31.00114, 0.998469, 1482, 830, 2043.0, 2154, 3045, 3712, 5360, 5802, 0
32.001412, 1.000272, 1315, 918, 2298.8, 2311, 2634, 3025, 4740, 5360, 0
33.001045, 0.999633, 1306, 886, 2285.2, 2299, 2561, 2688, 3562, 3889, 0
34.001243, 1.000198, 1292, 1101, 2312.4, 2305, 2583, 2745, 3672, 3798, 0
35.001328, 1.000085, 1304, 892, 2304.1, 2320, 2615, 2727, 5607, 6514, 0
36.002556, 1.001228, 1262, 901, 2352.7, 2363, 2689, 3342, 13774, 14112, 0
37.001092, 0.998536, 1348, 794, 2223.5, 2243, 2611, 3349, 16004, 16429, 0
38.00121, 1.000118, 1274, 881, 2372.3, 2322, 2641, 3947, 16314, 16429, 0
39.002478, 1.001268, 1268, 936, 2358.5, 2334, 2621, 3935, 5639, 5860, 0
40.002802, 1.000324, 1368, 900, 2224.4, 2289, 2680, 4476, 5211, 5469, 0
41.002275, 0.999473, 1297, 935, 2304.9, 2301, 2659, 3637, 5456, 5469, 0
42.00146, 0.999185, 1319, 903, 2257.3, 2281, 2572, 2779, 5092, 5456, 0
43.001485, 1.000025, 1336, 878, 2240.7, 2274, 2555, 2702, 3617, 4457, 0
44.00109, 0.999605, 1403, 856, 2142.8, 2222, 2588, 3039, 3671, 3761, 0
45.001465, 1.000375, 1299, 1052, 2290.2, 2277, 2586, 3291, 6404, 6734, 0
46.002563, 1.001098, 1375, 914, 2185.5, 2218, 2565, 3562, 4190, 4459, 0
47.001103, 0.99854, 1275, 887, 2341.4, 2348, 2699, 3330, 11069, 11179, 0
48.001191, 1.000088, 1298, 937, 2311.7, 2322, 2609, 2749, 3333, 3920, 0
49.001167, 0.999976, 1295, 948, 2306.4, 2306, 2631, 2913, 6719, 6897, 0
50.001272, 1.000105, 1375, 869, 2176.1, 2263, 2620, 3325, 14073, 14479, 0
51.00156, 1.000288, 1275, 888, 2342.3, 2336, 2641, 3507, 5408, 5443, 0
52.002228, 1.000668, 1766, 837, 1742.5, 1638, 2575, 3244, 5760, 6027, 1
53.001124, 0.998896, 1506, 865, 1961.6, 2078, 2599, 2976, 4122, 5135, 0
54.001854, 1.00073, 1297, 957, 2306.3, 2309, 2574, 2671, 3455, 3570, 0
55.002828, 1.000974, 1290, 939, 2315.8, 2305, 2587, 2977, 6036, 6139, 0
56.001091, 0.998263, 1394, 843, 2156.9, 2208, 2499, 2655, 3639, 3655, 0
57.001406, 1.000315, 1314, 1622, 2270.4, 2247, 2492, 2606, 11983, 12065, 0
58.001048, 0.999642, 1304, 869, 2286.2, 2302, 2572, 2651, 3278, 3871, 0
59.001504, 1.000456, 1304, 883, 2293.2, 2334, 2638, 2867, 4549, 4728, 0
60.001337, 0.999833, 1265, 921, 2368.0, 2369, 2651, 2876, 3611, 3821, 0
61.001067, 0.99973, 1264, 981, 2367.7, 2373, 2665, 2837, 4362, 4568, 0
61.008322, 0.007255, 9, 981, 2368.0, 2373, 2667, 2876, 4362, 4568, 0
