elapsed, window, total, successful, failed
1.001066, 1.001066, 3880, 3880, 0
2.001096, 1.00003, 3401, 3401, 0
3.001278, 1.000182, 1291, 1291, 0
4.001189, 0.999911, 1243, 1243, 0
5.001634, 1.000445, 1238, 1238, 0
6.001056, 0.999422, 1309, 1309, 0
7.001651, 1.000595, 1392, 1392, 0
8.001384, 0.999733, 1280, 1280, 0
9.002039, 1.000655, 1355, 1355, 0
10.001048, 0.999009, 1299, 1299, 0
11.001087, 1.000039, 1427, 1427, 0
12.002707, 1.00162, 1321, 1321, 0
13.001118, 0.998411, 1268, 1268, 0
14.001331, 1.000213, 1316, 1316, 0
15.00195, 1.000619, 1174, 1174, 0
16.001398, 0.999448, 1196, 1196, 0
17.001618, 1.00022, 1306, 1306, 0
18.001745, 1.000127, 1324, 1324, 0
19.001319, 0.999574, 1268, 1268, 0
20.001815, 1.000496, 1289, 1289, 0
21.002328, 1.000513, 1308, 1308, 0
22.001547, 0.999219, 1293, 1293, 0
23.00157, 1.000023, 1264, 1264, 0
24.001075, 0.999505, 1212, 1212, 0
25.002187, 1.001112, 1267, 1267, 0
26.001072, 0.998885, 1308, 1308, 0
27.002685, 1.001613, 1317, 1317, 0
28.001307, 0.998622, 1270, 1270, 0
29.001088, 0.999781, 1312, 1312, 0
30.002671, 1.001583, 1339, 1339, 0
31.00114, 0.998469, 1482, 1482, 0
32.001412, 1.000272, 1315, 1315, 0
33.001045, 0.999633, 1306, 1306, 0
34.001243, 1.000198, 1292, 1292, 0
35.001328, 1.000085, 1304, 1304, 0
36.002556, 1.001228, 1262, 1262, 0
37.001092, 0.998536, 1348, 1348, 0
38.00121, 1.000118, 1274, 1274, 0
39.002478, 1.001268, 1268, 1268, 0
40.002802, 1.000324, 1368, 1368, 0
41.002275, 0.999473, 1297, 1297, 0
42.00146, 0.999185, 1319, 1319, 0
43.001485, 1.000025, 1336, 1336, 0
44.00109, 0.999605, 1403, 1403, 0
45.001465, 1.000375, 1299, 1299, 0
46.002563, 1.001098, 1375, 1375, 0
47.001103, 0.99854, 1275, 1275, 0
48.001191, 1.000088, 1298, 1298, 0
49.001167, 0.999976, 1295, 1295, 0
50.001272, 1.000105, 1375, 1375, 0
51.00156, 1.000288, 1275, 1275, 0
52.002228, 1.000668, 1767, 1766, 1
53.001124, 0.998896, 1506, 1506, 0
54.001854, 1.00073, 1297, 1297, 0
55.002828, 1.000974, 1290, 1290, 0
56.001091, 0.998263, 1394, 1394, 0
57.001406, 1.000315, 1314, 1314, 0
58.001048, 0.999642, 1304, 1304, 0
59.001504, 1.000456, 1304, 1304, 0
60.001337, 0.999833, 1265, 1265, 0
61.001067, 0.99973, 1264, 1264, 0
61.008322, 0.007255, 9, 9, 0
