elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000475, 1.000475, 3465, 325, 864.7, 821, 1270, 1367, 4170, 31170, 0
2.001648, 1.001173, 2940, 399, 970.6, 985, 1266, 1383, 3383, 4170, 0
3.001505, 0.999857, 3036, 378, 983.4, 974, 1211, 1338, 4593, 6632, 0
4.001483, 0.999978, 3107, 402, 967.3, 960, 1189, 1292, 4601, 6826, 0
5.001493, 1.00001, 3027, 391, 968.0, 955, 1189, 1276, 4100, 4692, 0
6.001616, 1.000123, 3001, 416, 992.1, 979, 1207, 1289, 3423, 5716, 0
7.001621, 1.000005, 3054, 391, 977.5, 969, 1190, 1273, 3730, 4694, 0
8.001923, 1.000302, 3052, 391, 970.0, 965, 1225, 1308, 3730, 4706, 0
9.001548, 0.999625, 3137, 383, 958.3, 960, 1244, 1328, 3507, 4443, 0
10.001478, 0.99993, 3097, 376, 968.3, 970, 1225, 1306, 4138, 4443, 0
11.001541, 1.000063, 3025, 367, 971.1, 976, 1252, 1412, 5100, 5740, 0
12.001595, 1.000054, 3150, 364, 973.4, 974, 1246, 1387, 5100, 5740, 0
13.001509, 0.999914, 3030, 412, 982.1, 976, 1212, 1298, 2214, 3551, 0
14.001606, 1.000097, 3120, 369, 971.3, 968, 1212, 1298, 2593, 3551, 0
15.001469, 0.999863, 3032, 397, 977.8, 966, 1185, 1287, 2721, 3466, 0
16.001658, 1.000189, 3455, 344, 900.9, 923, 1183, 1282, 2664, 3466, 1
17.001535, 0.999877, 3164, 344, 945.4, 959, 1202, 1291, 1755, 3932, 0
18.001503, 0.999968, 3094, 363, 980.1, 979, 1204, 1287, 3574, 3935, 0
19.001481, 0.999978, 3159, 372, 944.6, 946, 1175, 1254, 3507, 4239, 0
20.001525, 1.000044, 3048, 389, 967.9, 958, 1181, 1281, 3718, 4143, 0
21.001743, 1.000218, 3223, 372, 941.5, 944, 1164, 1300, 3474, 4586, 0
22.001901, 1.000158, 3043, 369, 969.1, 964, 1198, 1360, 2556, 2785, 0
23.002031, 1.00013, 3000, 398, 995.2, 992, 1260, 1379, 2291, 3038, 0
24.000589, 0.998558, 3028, 383, 992.5, 994, 1245, 1371, 2291, 3061, 0
25.001611, 1.001022, 2967, 412, 999.5, 998, 1252, 1358, 1984, 2810, 0
26.001578, 0.999967, 2885, 412, 1016.3, 1009, 1251, 1401, 2555, 4726, 0
27.001494, 0.999916, 3054, 413, 998.2, 998, 1234, 1376, 2331, 4726, 0
28.001529, 1.000035, 2989, 417, 977.3, 977, 1214, 1334, 2303, 6875, 0
29.001602, 1.000073, 3056, 388, 974.2, 970, 1210, 1311, 4653, 6875, 0
30.001584, 0.999982, 2853, 423, 1013.6, 1008, 1251, 1377, 2576, 5040, 0
31.001575, 0.999991, 2956, 392, 1021.1, 1022, 1257, 1428, 2662, 4778, 0
32.001468, 0.999893, 2915, 644, 1021.6, 1011, 1269, 1368, 2637, 4778, 0
33.001526, 1.000058, 2942, 399, 1015.0, 1018, 1282, 1363, 2621, 2952, 0
34.001594, 1.000068, 2922, 418, 1024.9, 1030, 1271, 1350, 2502, 3121, 0
35.001561, 0.999967, 3035, 373, 993.7, 1005, 1266, 1398, 2202, 2978, 0
36.001528, 0.999967, 2954, 384, 1008.3, 1008, 1290, 1423, 2978, 4596, 0
37.001544, 1.000016, 3097, 371, 971.4, 972, 1233, 1311, 3609, 4059, 0
38.001513, 0.999969, 2938, 360, 990.1, 993, 1246, 1326, 3842, 4244, 0
39.001508, 0.999995, 2744, 435, 1058.7, 1040, 1323, 1382, 2681, 4244, 1
40.002015, 1.000507, 2951, 396, 1028.1, 1023, 1331, 1453, 3650, 6433, 0
41.002003, 0.999988, 3040, 362, 989.3, 980, 1305, 1599, 3829, 6433, 0
42.001554, 0.999551, 3215, 356, 955.0, 956, 1209, 1505, 1904, 4726, 0
43.001621, 1.000067, 3180, 367, 948.3, 953, 1183, 1256, 1769, 4726, 0
44.001565, 0.999944, 3154, 376, 953.5, 948, 1164, 1233, 1769, 3982, 0
45.001503, 0.999938, 2992, 379, 966.9, 968, 1222, 1364, 2219, 3982, 0
46.001691, 1.000188, 2831, 421, 1025.2, 1017, 1296, 1507, 2183, 4585, 0
47.001689, 0.999998, 2935, 360, 1031.2, 1024, 1286, 1516, 2033, 4585, 0
48.001536, 0.999847, 3812, 346, 861.6, 824, 1252, 1326, 1704, 3973, 1
49.001518, 0.999982, 3015, 346, 887.9, 878, 1204, 1293, 1916, 3973, 0
50.001624, 1.000106, 4060, 345, 810.9, 777, 1155, 1244, 1670, 3781, 0
51.001511, 0.999887, 3122, 345, 858.1, 823, 1199, 1295, 1907, 3781, 0
52.001538, 1.000027, 3068, 370, 979.5, 969, 1217, 1546, 2246, 5108, 0
53.001478, 0.99994, 3089, 380, 964.6, 955, 1176, 1296, 2170, 5108, 0
54.001598, 1.00012, 3265, 366, 932.4, 933, 1184, 1315, 1972, 3520, 0
55.001604, 1.000006, 3026, 366, 947.9, 946, 1201, 1321, 1990, 3520, 0
56.001517, 0.999913, 3007, 482, 977.5, 973, 1201, 1262, 1556, 4767, 0
57.001473, 0.999956, 3157, 439, 962.2, 954, 1195, 1272, 1564, 4767, 0
58.001504, 1.000031, 3124, 376, 940.0, 940, 1165, 1231, 1880, 2737, 0
59.001624, 1.00012, 3090, 358, 961.8, 955, 1180, 1236, 1774, 5056, 0
60.001521, 0.999897, 3144, 356, 951.4, 941, 1191, 1256, 1558, 2185, 0
61.001591, 1.00007, 3110, 385, 942.7, 939, 1167, 1262, 4278, 4956, 0
61.008359, 0.006768, 3, 385, 945.2, 939, 1168, 1272, 4618, 5697, 0
