elapsed, window, total, successful, failed
1.000475, 1.000475, 3465, 3465, 0
2.001648, 1.001173, 2940, 2940, 0
3.001505, 0.999857, 3036, 3036, 0
4.001483, 0.999978, 3107, 3107, 0
5.001493, 1.00001, 3027, 3027, 0
6.001616, 1.000123, 3001, 3001, 0
7.001621, 1.000005, 3054, 3054, 0
8.001923, 1.000302, 3052, 3052, 0
9.001548, 0.999625, 3137, 3137, 0
10.001478, 0.99993, 3097, 3097, 0
11.001541, 1.000063, 3025, 3025, 0
12.001595, 1.000054, 3150, 3150, 0
13.001509, 0.999914, 3030, 3030, 0
14.001606, 1.000097, 3120, 3120, 0
15.001469, 0.999863, 3032, 3032, 0
16.001658, 1.000189, 3456, 3455, 1
17.001535, 0.999877, 3164, 3164, 0
18.001503, 0.999968, 3094, 3094, 0
19.001481, 0.999978, 3159, 3159, 0
20.001525, 1.000044, 3048, 3048, 0
21.001743, 1.000218, 3223, 3223, 0
22.001901, 1.000158, 3043, 3043, 0
23.002031, 1.00013, 3000, 3000, 0
24.000589, 0.998558, 3028, 3028, 0
25.001611, 1.001022, 2967, 2967, 0
26.001578, 0.999967, 2885, 2885, 0
27.001494, 0.999916, 3054, 3054, 0
28.001529, 1.000035, 2989, 2989, 0
29.001602, 1.000073, 3056, 3056, 0
30.001584, 0.999982, 2853, 2853, 0
31.001575, 0.999991, 2956, 2956, 0
32.001468, 0.999893, 2915, 2915, 0
33.001526, 1.000058, 2942, 2942, 0
34.001594, 1.000068, 2922, 2922, 0
35.001561, 0.999967, 3035, 3035, 0
36.001528, 0.999967, 2954, 2954, 0
37.001544, 1.000016, 3097, 3097, 0
38.001513, 0.999969, 2938, 2938, 0
39.001508, 0.999995, 2745, 2744, 1
40.002015, 1.000507, 2951, 2951, 0
41.002003, 0.999988, 3040, 3040, 0
42.001554, 0.999551, 3215, 3215, 0
43.001621, 1.000067, 3180, 3180, 0
44.001565, 0.999944, 3154, 3154, 0
45.001503, 0.999938, 2992, 2992, 0
46.001691, 1.000188, 2831, 2831, 0
47.001689, 0.999998, 2935, 2935, 0
48.001536, 0.999847, 3813, 3812, 1
49.001518, 0.999982, 3015, 3015, 0
50.001624, 1.000106, 4060, 4060, 0
51.001511, 0.999887, 3122, 3122, 0
52.001538, 1.000027, 3068, 3068, 0
53.001478, 0.99994, 3089, 3089, 0
54.001598, 1.00012, 3265, 3265, 0
55.001604, 1.000006, 3026, 3026, 0
56.001517, 0.999913, 3007, 3007, 0
57.001473, 0.999956, 3157, 3157, 0
58.001504, 1.000031, 3124, 3124, 0
59.001624, 1.00012, 3090, 3090, 0
60.001521, 0.999897, 3144, 3144, 0
61.001591, 1.00007, 3110, 3110, 0
61.008359, 0.006768, 3, 3, 0
