elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000981, 1.000981, 3488, 310, 860.9, 834, 1246, 1356, 2290, 31575, 0
2.001995, 1.001014, 2848, 415, 1013.5, 1014, 1305, 1484, 4376, 4472, 0
3.004976, 1.002981, 2690, 395, 1093.5, 1085, 1464, 1581, 4508, 5475, 0
4.001901, 0.996925, 2889, 431, 1043.0, 1005, 1424, 1522, 5001, 5809, 0
5.002123, 1.000222, 2891, 392, 1019.4, 1014, 1272, 1368, 2555, 5809, 0
6.000888, 0.998765, 2912, 539, 1027.4, 1018, 1241, 1324, 2101, 5595, 0
7.001895, 1.001007, 2914, 465, 1019.5, 1016, 1254, 1317, 1811, 4650, 0
8.001919, 1.000024, 2842, 437, 1051.8, 1054, 1303, 1404, 2276, 4392, 0
9.002458, 1.000539, 2960, 428, 1011.9, 1003, 1238, 1317, 4784, 5127, 0
10.000959, 0.998501, 3001, 383, 992.0, 986, 1202, 1286, 4379, 5218, 0
11.002073, 1.001114, 2910, 401, 1013.8, 1012, 1241, 1303, 2938, 5218, 0
12.001033, 0.99896, 2909, 370, 1024.3, 1019, 1266, 1346, 2173, 6552, 0
13.000871, 0.999838, 3018, 378, 980.6, 974, 1196, 1253, 1584, 2426, 0
14.001881, 1.00101, 2949, 414, 996.9, 996, 1212, 1286, 4211, 5669, 0
15.00196, 1.000079, 2734, 408, 1073.5, 1083, 1293, 1380, 2421, 5669, 0
16.001887, 0.999927, 2836, 382, 1056.3, 1077, 1308, 1377, 1965, 5345, 0
17.001904, 1.000017, 3189, 378, 949.4, 969, 1195, 1247, 5028, 5345, 0
18.002041, 1.000137, 3008, 449, 987.7, 980, 1190, 1274, 2629, 4436, 0
19.00097, 0.998929, 3007, 360, 984.5, 981, 1192, 1258, 4248, 6487, 0
20.002065, 1.001095, 3069, 692, 974.1, 966, 1178, 1243, 1621, 5898, 0
21.00108, 0.999015, 3040, 402, 971.1, 968, 1168, 1261, 1960, 5898, 0
22.001052, 0.999972, 2961, 384, 994.9, 984, 1213, 1264, 1690, 1932, 0
23.001079, 1.000027, 3022, 415, 984.5, 979, 1182, 1271, 1878, 4385, 0
24.000989, 0.99991, 2975, 407, 1000.6, 999, 1241, 1473, 2259, 4385, 0
25.001995, 1.001006, 2943, 415, 1013.4, 1009, 1244, 1323, 1721, 1971, 0
26.001985, 0.99999, 2951, 375, 1005.3, 1003, 1225, 1316, 3630, 11899, 0
27.00209, 1.000105, 2942, 384, 1009.2, 1011, 1206, 1264, 1592, 3713, 0
28.001071, 0.998981, 2994, 397, 1001.5, 996, 1204, 1269, 1730, 2080, 0
29.001287, 1.000216, 3020, 396, 987.0, 979, 1191, 1249, 1832, 3272, 0
30.001249, 0.999962, 3022, 383, 983.5, 979, 1193, 1258, 1581, 2150, 0
31.00108, 0.999831, 3056, 387, 979.4, 971, 1178, 1246, 2043, 4312, 0
32.000985, 0.999905, 3021, 386, 982.3, 992, 1193, 1264, 1677, 1896, 0
33.001952, 1.000967, 2989, 389, 996.3, 989, 1199, 1331, 1918, 4461, 0
34.001966, 1.000014, 3040, 387, 986.0, 976, 1204, 1284, 2032, 2392, 0
35.002308, 1.000342, 2948, 392, 1000.2, 1004, 1191, 1284, 4232, 5340, 0
36.00094, 0.998632, 3196, 383, 947.7, 965, 1189, 1344, 1902, 5000, 0
37.002119, 1.001179, 3163, 393, 953.3, 971, 1269, 1491, 2200, 4598, 0
38.000906, 0.998787, 3012, 389, 1002.8, 1001, 1245, 1432, 2200, 4576, 0
39.001918, 1.001012, 3044, 398, 989.6, 987, 1220, 1292, 4468, 5168, 0
40.001962, 1.000044, 3077, 404, 972.3, 979, 1206, 1296, 1985, 2349, 0
41.001952, 0.99999, 2908, 436, 1013.1, 1004, 1227, 1359, 2086, 6008, 0
42.001962, 1.00001, 2964, 380, 1004.9, 1007, 1258, 1393, 1722, 1851, 0
43.001915, 0.999953, 3219, 399, 963.6, 965, 1266, 1470, 4595, 5252, 1
44.001916, 1.000001, 3184, 385, 918.9, 942, 1240, 1313, 2045, 3474, 0
45.001906, 0.99999, 2938, 377, 1006.6, 1011, 1251, 1443, 3288, 3474, 0
46.001883, 0.999977, 2849, 437, 1042.5, 1029, 1275, 1341, 1998, 2772, 0
47.001929, 1.000046, 2919, 385, 1030.9, 1030, 1272, 1356, 1842, 2812, 0
48.002094, 1.000165, 3065, 398, 985.1, 984, 1207, 1277, 1814, 3620, 0
49.000999, 0.998905, 2832, 441, 1020.1, 1028, 1226, 1314, 1604, 1980, 0
50.001918, 1.000919, 2952, 365, 1012.5, 1017, 1208, 1275, 1526, 1749, 0
51.002067, 1.000149, 2991, 376, 996.7, 1009, 1234, 1306, 3151, 5208, 0
52.001885, 0.999818, 2977, 437, 1009.5, 1008, 1248, 1321, 1778, 2589, 0
53.001919, 1.000034, 2966, 381, 993.2, 985, 1218, 1453, 2589, 7319, 1
54.002346, 1.000427, 3002, 432, 987.4, 989, 1242, 1412, 5478, 7028, 0
55.000907, 0.998561, 3010, 371, 967.5, 979, 1256, 1430, 2913, 3203, 0
56.001883, 1.000976, 3111, 387, 963.9, 971, 1209, 1311, 2236, 4052, 0
57.00188, 0.999997, 2873, 438, 1024.7, 1009, 1248, 1356, 3253, 3972, 0
58.002084, 1.000204, 3083, 380, 977.0, 974, 1226, 1361, 3635, 3852, 0
59.000908, 0.998824, 2935, 391, 1001.4, 987, 1220, 1386, 4075, 5053, 0
60.00225, 1.001342, 2876, 398, 1028.3, 1015, 1243, 1382, 3947, 4226, 0
61.000917, 0.998667, 2792, 465, 1059.2, 1043, 1273, 1414, 3708, 4107, 0
61.007406, 0.006489, 13, 465, 1059.3, 1043, 1274, 1436, 3708, 4107, 0
