elapsed, window, total, successful, failed
1.000981, 1.000981, 3488, 3488, 0
2.001995, 1.001014, 2848, 2848, 0
3.004976, 1.002981, 2690, 2690, 0
4.001901, 0.996925, 2889, 2889, 0
5.002123, 1.000222, 2891, 2891, 0
6.000888, 0.998765, 2912, 2912, 0
7.001895, 1.001007, 2914, 2914, 0
8.001919, 1.000024, 2842, 2842, 0
9.002458, 1.000539, 2960, 2960, 0
10.000959, 0.998501, 3001, 3001, 0
11.002073, 1.001114, 2910, 2910, 0
12.001033, 0.99896, 2909, 2909, 0
13.000871, 0.999838, 3018, 3018, 0
14.001881, 1.00101, 2949, 2949, 0
15.00196, 1.000079, 2734, 2734, 0
16.001887, 0.999927, 2836, 2836, 0
17.001904, 1.000017, 3189, 3189, 0
18.002041, 1.000137, 3008, 3008, 0
19.00097, 0.998929, 3007, 3007, 0
20.002065, 1.001095, 3069, 3069, 0
21.00108, 0.999015, 3040, 3040, 0
22.001052, 0.999972, 2961, 2961, 0
23.001079, 1.000027, 3022, 3022, 0
24.000989, 0.99991, 2975, 2975, 0
25.001995, 1.001006, 2943, 2943, 0
26.001985, 0.99999, 2951, 2951, 0
27.00209, 1.000105, 2942, 2942, 0
28.001071, 0.998981, 2994, 2994, 0
29.001287, 1.000216, 3020, 3020, 0
30.001249, 0.999962, 3022, 3022, 0
31.00108, 0.999831, 3056, 3056, 0
32.000985, 0.999905, 3021, 3021, 0
33.001952, 1.000967, 2989, 2989, 0
34.001966, 1.000014, 3040, 3040, 0
35.002308, 1.000342, 2948, 2948, 0
36.00094, 0.998632, 3196, 3196, 0
37.002119, 1.001179, 3163, 3163, 0
38.000906, 0.998787, 3012, 3012, 0
39.001918, 1.001012, 3044, 3044, 0
40.001962, 1.000044, 3077, 3077, 0
41.001952, 0.99999, 2908, 2908, 0
42.001962, 1.00001, 2964, 2964, 0
43.001915, 0.999953, 3220, 3219, 1
44.001916, 1.000001, 3184, 3184, 0
45.001906, 0.99999, 2938, 2938, 0
46.001883, 0.999977, 2849, 2849, 0
47.001929, 1.000046, 2919, 2919, 0
48.002094, 1.000165, 3065, 3065, 0
49.000999, 0.998905, 2832, 2832, 0
50.001918, 1.000919, 2952, 2952, 0
51.002067, 1.000149, 2991, 2991, 0
52.001885, 0.999818, 2977, 2977, 0
53.001919, 1.000034, 2967, 2966, 1
54.002346, 1.000427, 3002, 3002, 0
55.000907, 0.998561, 3010, 3010, 0
56.001883, 1.000976, 3111, 3111, 0
57.00188, 0.999997, 2873, 2873, 0
58.002084, 1.000204, 3083, 3083, 0
59.000908, 0.998824, 2935, 2935, 0
60.00225, 1.001342, 2876, 2876, 0
61.000917, 0.998667, 2792, 2792, 0
61.007406, 0.006489, 13, 13, 0
