elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.000907, 1.000907, 3808, 263, 777.3, 764, 1012, 1104, 2137, 25135, 0
2.001797, 1.00089, 4152, 293, 749.1, 747, 989, 1104, 4077, 8463, 1
3.001854, 1.000057, 3961, 290, 739.2, 745, 926, 986, 1659, 2634, 0
4.001844, 0.99999, 4000, 286, 756.3, 757, 938, 1006, 2441, 13363, 0
5.001772, 0.999928, 3767, 273, 769.0, 771, 972, 1077, 3545, 13363, 0
6.001795, 1.000023, 3747, 289, 799.3, 811, 1025, 1102, 2440, 4080, 0
7.002423, 1.000628, 3441, 306, 854.1, 844, 1049, 1132, 2738, 15548, 0
8.000855, 0.998432, 4435, 279, 751.6, 759, 1012, 1121, 8256, 15548, 0
9.001833, 1.000978, 3753, 279, 739.5, 746, 977, 1106, 5158, 8261, 0
10.00204, 1.000207, 3882, 281, 777.0, 766, 983, 1193, 5390, 9166, 0
11.000886, 0.998846, 4057, 281, 759.5, 757, 969, 1126, 4292, 9166, 0
12.001816, 1.00093, 3822, 281, 751.1, 756, 958, 1036, 2738, 10712, 0
13.00201, 1.000194, 3750, 326, 788.3, 772, 947, 1025, 5569, 13026, 0
14.0018, 0.99979, 3936, 286, 770.6, 756, 946, 1061, 5569, 13026, 0
15.001988, 1.000188, 3803, 294, 773.9, 756, 948, 1166, 4447, 11869, 0
16.002114, 1.000126, 4064, 288, 753.7, 743, 940, 1082, 4187, 8840, 0
17.000868, 0.998754, 3847, 275, 759.0, 754, 963, 1090, 3257, 3755, 0
18.002026, 1.001158, 3816, 275, 770.9, 770, 972, 1098, 2250, 3216, 1
19.000768, 0.998742, 3688, 290, 792.6, 787, 1019, 1215, 3207, 6997, 0
20.001858, 1.00109, 3958, 287, 787.4, 784, 1024, 1210, 3042, 6997, 0
21.001845, 0.999987, 3723, 291, 790.9, 789, 991, 1143, 2203, 3042, 0
22.001808, 0.999963, 3763, 320, 793.0, 793, 994, 1099, 2153, 2991, 0
23.001881, 1.000073, 3607, 514, 812.9, 802, 997, 1103, 2794, 9335, 0
24.001819, 0.999938, 3887, 276, 793.1, 799, 1012, 1189, 2797, 9335, 1
25.001991, 1.000172, 3709, 276, 780.4, 787, 1031, 1207, 2795, 5798, 0
26.001872, 0.999881, 4057, 279, 766.1, 771, 1004, 1128, 2273, 3071, 0
27.002104, 1.000232, 3684, 281, 784.7, 798, 999, 1128, 2254, 4703, 0
28.001002, 0.998898, 3829, 272, 793.5, 800, 1004, 1132, 2131, 5812, 0
29.001925, 1.000923, 3953, 264, 769.2, 766, 989, 1178, 2513, 3274, 0
30.001791, 0.999866, 3644, 288, 793.9, 790, 1061, 1246, 2913, 3274, 0
31.001798, 1.000007, 3879, 303, 806.4, 799, 1058, 1153, 2384, 7386, 0
32.001819, 1.000021, 3657, 301, 801.7, 785, 995, 1184, 5333, 10169, 0
33.001947, 1.000128, 3913, 281, 777.3, 780, 987, 1133, 4241, 5335, 0
34.001842, 0.999895, 4067, 279, 740.6, 749, 971, 1081, 4171, 4651, 1
35.002045, 1.000203, 3805, 273, 766.9, 761, 1004, 1167, 2929, 4651, 0
36.001086, 0.999041, 3239, 304, 852.6, 857, 1158, 1260, 2965, 4298, 0
37.00079, 0.999704, 2949, 407, 976.1, 981, 1187, 1372, 4569, 5656, 0
38.00212, 1.00133, 3961, 305, 854.4, 845, 1169, 1340, 3855, 5459, 0
39.000806, 0.998686, 3855, 305, 756.8, 754, 953, 1064, 2313, 5053, 0
40.001837, 1.001031, 4159, 287, 736.8, 727, 935, 1078, 2575, 5053, 0
41.001958, 1.000121, 3951, 319, 727.7, 718, 915, 1048, 2170, 3060, 0
42.001998, 1.00004, 4172, 270, 726.4, 722, 934, 1041, 2082, 15368, 0
43.001805, 0.999807, 3993, 276, 733.2, 724, 921, 1011, 9203, 15368, 0
44.001925, 1.00012, 3866, 287, 762.6, 747, 938, 1059, 4456, 11064, 0
45.00188, 0.999955, 4067, 305, 748.7, 742, 935, 1090, 3858, 4278, 0
46.00182, 0.99994, 3998, 310, 745.1, 730, 910, 1068, 4105, 15968, 0
47.001926, 1.000106, 4161, 273, 728.2, 720, 910, 1007, 2869, 15968, 0
48.001833, 0.999907, 4062, 298, 728.4, 724, 922, 984, 2537, 12000, 0
49.001951, 1.000118, 3866, 352, 750.5, 746, 943, 1027, 2324, 3225, 0
50.001916, 0.999965, 4017, 272, 749.1, 749, 949, 1067, 2096, 3671, 0
51.001871, 0.999955, 4038, 287, 743.2, 744, 949, 1016, 2982, 5752, 1
52.001818, 0.999947, 4085, 296, 743.9, 740, 944, 1006, 2724, 5752, 0
53.00203, 1.000212, 3859, 307, 752.0, 755, 979, 1063, 2597, 3795, 0
54.000882, 0.998852, 3884, 295, 777.9, 786, 1013, 1140, 3606, 9235, 1
55.001782, 1.0009, 4254, 277, 726.3, 723, 987, 1146, 2964, 9235, 0
56.002062, 1.00028, 3966, 277, 727.8, 726, 942, 1034, 2493, 3056, 0
57.000882, 0.99882, 4105, 272, 731.5, 736, 952, 1031, 2149, 4082, 0
58.001944, 1.001062, 3970, 261, 756.3, 756, 957, 1036, 1663, 4082, 0
59.00189, 0.999946, 3983, 278, 752.3, 746, 963, 1138, 3852, 5106, 0
60.002123, 1.000233, 4001, 282, 756.0, 747, 967, 1167, 4508, 5106, 0
61.000842, 0.998719, 3882, 270, 756.6, 762, 942, 1016, 2000, 2661, 0
61.011429, 0.010587, 0, 270, 757.2, 762, 942, 1028, 2169, 2661, 0
