elapsed, window, total, successful, failed
1.000907, 1.000907, 3808, 3808, 0
2.001797, 1.00089, 4153, 4152, 1
3.001854, 1.000057, 3961, 3961, 0
4.001844, 0.99999, 4000, 4000, 0
5.001772, 0.999928, 3767, 3767, 0
6.001795, 1.000023, 3747, 3747, 0
7.002423, 1.000628, 3441, 3441, 0
8.000855, 0.998432, 4435, 4435, 0
9.001833, 1.000978, 3753, 3753, 0
10.00204, 1.000207, 3882, 3882, 0
11.000886, 0.998846, 4057, 4057, 0
12.001816, 1.00093, 3822, 3822, 0
13.00201, 1.000194, 3750, 3750, 0
14.0018, 0.99979, 3936, 3936, 0
15.001988, 1.000188, 3803, 3803, 0
16.002114, 1.000126, 4064, 4064, 0
17.000868, 0.998754, 3847, 3847, 0
18.002026, 1.001158, 3817, 3816, 1
19.000768, 0.998742, 3688, 3688, 0
20.001858, 1.00109, 3958, 3958, 0
21.001845, 0.999987, 3723, 3723, 0
22.001808, 0.999963, 3763, 3763, 0
23.001881, 1.000073, 3607, 3607, 0
24.001819, 0.999938, 3888, 3887, 1
25.001991, 1.000172, 3709, 3709, 0
26.001872, 0.999881, 4057, 4057, 0
27.002104, 1.000232, 3684, 3684, 0
28.001002, 0.998898, 3829, 3829, 0
29.001925, 1.000923, 3953, 3953, 0
30.001791, 0.999866, 3644, 3644, 0
31.001798, 1.000007, 3879, 3879, 0
32.001819, 1.000021, 3657, 3657, 0
33.001947, 1.000128, 3913, 3913, 0
34.001842, 0.999895, 4068, 4067, 1
35.002045, 1.000203, 3805, 3805, 0
36.001086, 0.999041, 3239, 3239, 0
37.00079, 0.999704, 2949, 2949, 0
38.00212, 1.00133, 3961, 3961, 0
39.000806, 0.998686, 3855, 3855, 0
40.001837, 1.001031, 4159, 4159, 0
41.001958, 1.000121, 3951, 3951, 0
42.001998, 1.00004, 4172, 4172, 0
43.001805, 0.999807, 3993, 3993, 0
44.001925, 1.00012, 3866, 3866, 0
45.00188, 0.999955, 4067, 4067, 0
46.00182, 0.99994, 3998, 3998, 0
47.001926, 1.000106, 4161, 4161, 0
48.001833, 0.999907, 4062, 4062, 0
49.001951, 1.000118, 3866, 3866, 0
50.001916, 0.999965, 4017, 4017, 0
51.001871, 0.999955, 4039, 4038, 1
52.001818, 0.999947, 4085, 4085, 0
53.00203, 1.000212, 3859, 3859, 0
54.000882, 0.998852, 3885, 3884, 1
55.001782, 1.0009, 4254, 4254, 0
56.002062, 1.00028, 3966, 3966, 0
57.000882, 0.99882, 4105, 4105, 0
58.001944, 1.001062, 3970, 3970, 0
59.00189, 0.999946, 3983, 3983, 0
60.002123, 1.000233, 4001, 4001, 0
61.000842, 0.998719, 3882, 3882, 0
61.011429, 0.010587, 0, 0, 0
